,num_services,has_phone_service,has_internet_service,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,num_services_x_internet,phone_without_internet,high_service_count_flag,service_diversity_index,churn
num_services,1.0,-0.0005683957338750656,0.0002627317519327785,0.000721852754542728,0.00039237185461126644,0.001556621852609188,-0.0003034137567889195,-0.0016230130506980926,0.000625668948188568,0.7542180910446976,0.0001249493393179229,0.8253942205504775,-0.6383003925856606,-0.03337763092707655
has_phone_service,-0.0005683957338750656,1.0,0.17125735373133505,0.05175733199285006,0.06318892981701854,0.04820839049938942,0.04181015672435687,0.0039072657854433,-0.00022277234481332808,0.09780550792542964,0.17194932363996504,-0.0007170888404565876,0.047526273375774086,-0.002273511526027892
has_internet_service,0.0002627317519327785,0.17125735373133505,1.0,0.301458649636243,0.36205796421124575,0.27337644827426827,0.24974268799915347,-0.0015235525640534737,-6.9943080917172e-05,0.5754097883781615,-0.7472337885673983,0.0006070430386447567,0.2668446177634808,-0.015261448032357612
has_online_security,0.000721852754542728,0.05175733199285006,0.301458649636243,1.0,0.10999812407593115,0.08298526455876974,0.0755936340891891,-0.0009587191210942718,-0.0005268054157158836,0.17403232773199498,-0.2252600888641075,0.0012297134098294862,0.2806842223476549,-0.03410621224499798
has_online_backup,0.00039237185461126644,0.06318892981701854,0.36205796421124575,0.10999812407593115,1.0,0.09960714346029664,0.08982682620017679,-0.0005100181549836905,-0.003558641760072346,0.20859537352629307,-0.27054194427857914,0.0009926219799149451,0.29638016790858546,-0.004919450768678046
has_device_protection,0.001556621852609188,0.04820839049938942,0.27337644827426827,0.08298526455876974,0.09960714346029664,1.0,0.0689067990284628,-0.0002109660022596409,-0.0008600786006990731,0.15862059036456555,-0.2042761191490833,0.001673952917090894,0.2700096598154161,-0.004908193662944027
has_tech_support,-0.0003034137567889195,0.04181015672435687,0.24974268799915347,0.0755936340891891,0.08982682620017679,0.0689067990284628,1.0,-0.0012836538185391948,2.5613751830385648e-05,0.1428803809819079,-0.1871947069417948,-0.00021874778919035964,0.285677409643696,-0.04547698617663872
has_streaming_tv,-0.0016230130506980926,0.0039072657854433,-0.0015235525640534737,-0.0009587191210942718,-0.0005100181549836905,-0.0002109660022596409,-0.0012836538185391948,1.0,0.0005615649279555184,-0.0026290214200164882,0.0023860945820277425,-0.0011628844181892262,0.22942818342907445,0.0006949999261212128
has_streaming_movies,0.000625668948188568,-0.00022277234481332808,-6.9943080917172e-05,-0.0005268054157158836,-0.003558641760072346,-0.0008600786006990731,2.5613751830385648e-05,0.0005615649279555184,1.0,0.00034658206263737056,-0.0003613271462685851,0.0002947459210452118,0.2312752054055327,0.001914770042988256
num_services_x_internet,0.7542180910446976,0.09780550792542964,0.5754097883781615,0.17403232773199498,0.20859537352629307,0.15862059036456555,0.1428803809819079,-0.0026290214200164882,0.00034658206263737056,1.0,-0.4299656361485479,0.6228021658776411,-0.370522021728613,-0.03395460555046749
phone_without_internet,0.0001249493393179229,0.17194932363996504,-0.7472337885673983,-0.2252600888641075,-0.27054194427857914,-0.2042761191490833,-0.1871947069417948,0.0023860945820277425,-0.0003613271462685851,-0.4299656361485479,1.0,-0.00029150093685756433,-0.19936208038308087,0.011442942749629252
high_service_count_flag,0.8253942205504775,-0.0007170888404565876,0.0006070430386447567,0.0012297134098294862,0.0009926219799149451,0.001673952917090894,-0.00021874778919035964,-0.0011628844181892262,0.0002947459210452118,0.6228021658776411,-0.00029150093685756433,1.0,-0.42174160117281184,-0.027338667912117774
service_diversity_index,-0.6383003925856606,0.047526273375774086,0.2668446177634808,0.2806842223476549,0.29638016790858546,0.2700096598154161,0.285677409643696,0.22942818342907445,0.2312752054055327,-0.370522021728613,-0.19936208038308087,-0.42174160117281184,1.0,0.0005227495771632787
churn,-0.03337763092707655,-0.002273511526027892,-0.015261448032357612,-0.03410621224499798,-0.004919450768678046,-0.004908193662944027,-0.04547698617663872,0.0006949999261212128,0.001914770042988256,-0.03395460555046749,0.011442942749629252,-0.027338667912117774,0.0005227495771632787,1.0
