,correlation_with_churn
has_tech_support,-0.04547698617663872
has_online_security,-0.03410621224499798
num_services_x_internet,-0.03395460555046749
num_services,-0.03337763092707655
high_service_count_flag,-0.027338667912117774
has_internet_service,-0.015261448032357612
phone_without_internet,0.011442942749629252
has_online_backup,-0.004919450768678046
has_device_protection,-0.004908193662944027
has_phone_service,-0.002273511526027892
has_streaming_movies,0.001914770042988256
has_streaming_tv,0.0006949999261212128
service_diversity_index,0.0005227495771632787
